id,commtime,cso9ft2,efact9,jobconst,manconst,childlt6,c3h17m,female,jobhome,age,commtime_m,commtime_f,cso9ft2_f,cso9ft2_m,efact9_f,efact9_m,jobconst_f,jobconst_m,manconst_f,manconst_m,childlt6_f,childlt6_m,c3h17m_f,c3h17m_m,female_f,female_m,jobhome_f,jobhome_m,age_f,age_m
1292,50,-0.34967,-0.20667,0,0,0,1,1,1,0,50,0,-0.34967,0,-0.20667,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1296,55,-0.75016,0.84896,0,0,0,1,1,1,0,55,0,-0.75016,0,0.84896,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1330,30,0.30099,0.45101,1,0,0,1,1,1,0,30,0,0.30099,0,0.45101,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
1332,30,0.16343,-0.74732,1,1,0,0,0,0,1,0,30,0,0.16343,0,-0.74732,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1347,50,-0.06936,0.26103,0,0,1,1,1,1,0,50,0,-0.06936,0,0.26103,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
1356,35,0.85491,-1.49675,1,1,0,0,0,0,0,0,35,0,0.85491,0,-1.49675,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1371,35,-0.36208,-0.92208,1,1,0,0,1,0,1,35,0,-0.36208,0,-0.92208,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1382,30,0.02649,0.12922,0,0,1,1,0,1,1,0,30,0,0.02649,0,0.12922,0,0,0,0,0,1,0,1,0,0,0,1,0,1
1397,45,1.79867,-0.74687,0,0,0,0,0,1,0,0,45,0,1.79867,0,-0.74687,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1403,35,2.53257,-0.35808,1,1,0,0,1,1,1,35,0,2.53257,0,-0.35808,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
1404,50,1.24264,-0.81443,0,0,0,1,0,1,1,0,50,0,1.24264,0,-0.81443,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1411,30,-0.41783,-0.18882,0,0,0,1,1,1,0,30,0,-0.41783,0,-0.18882,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1423,70,1.20698,0.17633,1,1,0,0,1,1,0,70,0,1.20698,0,0.17633,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
1430,45,-0.01917,0.15367,0,0,0,1,1,1,1,45,0,-0.01917,0,0.15367,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
1431,40,0.13454,-0.72364,1,1,0,0,0,1,1,0,40,0,0.13454,0,-0.72364,0,1,0,1,0,0,0,0,0,0,0,1,0,1
1438,50,-0.93019,0.00838,0,0,0,1,0,1,1,0,50,0,-0.93019,0,0.00838,0,0,0,0,0,0,0,1,0,0,0,1,0,1
2000,35,-0.90489,-0.95231,0,1,0,0,1,1,1,35,0,-0.90489,0,-0.95231,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
2001,42.5,0.0067,-0.09728,0,0,0,0,1,1,0,42.5,0,0.0067,0,-0.09728,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2002,155,0.67271,-0.103,1,0,0,0,1,1,1,155,0,0.67271,0,-0.103,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
2003,30,-1.05018,-0.96737,1,1,0,0,1,0,0,30,0,-1.05018,0,-0.96737,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
2004,60,-0.70225,0.45934,0,0,1,1,1,1,0,60,0,-0.70225,0,0.45934,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
2005,60,-0.66685,0.12304,0,0,0,1,1,1,0,60,0,-0.66685,0,0.12304,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
2006,100,-0.90485,0.70836,0,0,0,1,1,1,1,100,0,-0.90485,0,0.70836,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
